"hmain","hname","province_id","hlevel","hclass","hrib","hfund","hpmodel","catm","htype","subtype","datein","dateout","remark","weight","status_uc","hname_title","hname_name","hmain9","f_hcap","f_hreserve","cross_province","hid","ingest_tm"
"02279",รพ.สต.บ้านคลองหนึ่ง,"2400","36",P,"54",,,"24090113","0010","001005",2002-10-01 00:00:00.000,,เพิ่มศักยภาพ,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านคลองหนึ่ง,"000227900",,,N,50099,"20240410185051"
"02280",รพ.สต.หัวสำโรง,"2400","36",P,"54",,Aw,"24090302","0010","001005",2002-10-01 00:00:00.000,,ปรับปรุงชื่อ,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,หัวสำโรง,"000228000",,,N,50100,"20240410185051"
"02281",รพ.สต.หนองไม้แก่น,"2400","36",P,"54",,,"24090412","0010","001005",2002-10-01 00:00:00.000,,เพิ่มศักยภาพ,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,หนองไม้แก่น,"000228100",,,N,50101,"20240410185051"
"02282",รพ.สต.บ้านไทรทอง,"2400","36",P,"54",,,"24090403","0010","001005",2002-10-01 00:00:00.000,,เพิ่มศักยภาพ,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านไทรทอง,"000228200",,,N,50102,"20240410185051"
"01660",รพ.สต.หนองแซง,"1800","36",P,"54",,,"18060602","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,หนองแซง,"000166000",,,N,49482,"20240410185051"
"01661",รพ.สต.บ้านดอนสีนวล,"1800","36",P,"54",,,"18060611","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านดอนสีนวล,"000166100",,,N,49483,"20240410185051"
"01662",รพ.สต.ห้วยงู,"1800","36",P,"54",,,"18060701","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,ห้วยงู,"000166200",,,N,49484,"20240410185051"
"02313",รพ.สต.โนนห้อม,"2500","36",P,"54",,,"25011301","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,โนนห้อม,"000231300",,,N,50132,"20240410185051"
"02314",รพ.สต.เมืองเก่า,"2500","36",P,"54",,,"25020205","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,เมืองเก่า,"000231400",,,N,50133,"20240410185051"
"02315",รพ.สต.วังดาล,"2500","36",P,"54",,,"25020313","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,วังดาล,"000231500",,,N,50134,"20240410185051"
"02316",รพ.สต.บ้านเกาะแดง,"2500","36",P,"54",,,"25020315","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านเกาะแดง,"000231600",,,N,50135,"20240410185051"
"02317",รพ.สต.นนทรี,"2500","36",P,"54",,,"25020408","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,นนทรี,"000231700",,,N,50136,"20240410185051"
"02318",รพ.สต.ย่านรี,"2500","36",P,"54",,,"25020502","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,ย่านรี,"000231800",,,N,50137,"20240410185051"
"02319",รพ.สต.บ้านเขาด้วน,"2500","36",P,"54",,,"25020509","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านเขาด้วน,"000231900",,,N,50138,"20240410185051"
"02320",รพ.สต.วังตะเคียน,"2500","36",P,"54",,,"25020605","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,วังตะเคียน,"000232000",,,N,50139,"20240410185051"
"02321",รพ.สต.หาดนางแก้ว,"2500","36",P,"54",,,"25020702","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,หาดนางแก้ว,"000232100",,,N,50140,"20240410185051"
"02322",รพ.สต.บ้านปราสาท,"2500","36",P,"54",,,"25020707","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านปราสาท,"000232200",,,N,50141,"20240410185051"
"02323",รพ.สต.ลาดตะเคียน,"2500","36",P,"54",,,"25020805","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,ลาดตะเคียน,"000232300",,,N,50142,"20240410185051"
"02324",รพ.สต.บ้านนา,"2500","36",P,"54",,,"25020905","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านนา,"000232400",,,N,50143,"20240410185051"
"02325",รพ.สต.บ้านหนองนาใน,"2500","36",P,"54",,,"25020906","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านหนองนาใน,"000232500",,,N,50144,"20240410185051"
"02326",รพ.สต.บ่อทอง,"2500","36",P,"54",,,"25021003","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ่อทอง,"000232600",,,N,50145,"20240410185051"
"02327",รพ.สต.บ้านโคกอุดม,"2500","36",P,"54",,,"25021101","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านโคกอุดม,"000232700",,,N,50146,"20240410185051"
"02328",รพ.สต.หนองกี่,"2500","36",P,"54",,,"25021106","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,หนองกี่,"000232800",,,N,50147,"20240410185051"
"02329",รพ.สต.บ้านนาแขม,"2500","36",P,"54",,I,"25021206","0016","001601",2002-10-01 00:00:00.000,,หนังสือสป.สธ. ที่ สธ 0250.03/8384 ลว.4 เม.ย. 66 เรื่อง แก้ไขสังกัดและประเภท รพสต.กรณีถ่ายโอนภารกิจ ประเภทหน่วยงาน จาก รพสต. เป็น ศูนย์บริการสาธารณสุข และสังกัด จาก สป.สธ. เป็น อปท./31-5-66,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านนาแขม,"000232900",,,N,50148,"20240410185051"
"02330",รพ.สต.เขาไม้แก้ว,"2500","36",P,"54",,,"25021303","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,เขาไม้แก้ว,"000233000",,,N,50149,"20240410185051"
"02331",รพ.สต.บ้านโปร่งสะเดา,"2500","36",P,"54",,,"25021306","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านโปร่งสะเดา,"000233100",,,N,50150,"20240410185051"
"02332",รพ.สต.วังท่าช้าง,"2500","36",P,"54",,,"25021403","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,วังท่าช้าง,"000233200",,,N,50151,"20240410185051"
"02333",รพ.สต.บ้านคลองสิบสอง,"2500","36",P,"54",,,"25021406","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านคลองสิบสอง,"000233300",,,N,50152,"20240410185051"
"02334",รพ.สต.บ้านด่านตะกั่ว,"2500","36",P,"54",,,"25030114","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านด่านตะกั่ว,"000233400",,,N,50153,"20240410185051"
"02335",รพ.สต.สำพันตา,"2500","36",P,"54",,,"25030204","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,สำพันตา,"000233500",,,N,50154,"20240410185051"
"02336",รพ.สต.สะพานหิน,"2500","36",P,"54",,,"25030303","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,สะพานหิน,"000233600",,,N,50155,"20240410185051"
"02337",รพ.สต.บ้านหนองตะแบก,"2500","36",P,"54",,,"25030310","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านหนองตะแบก,"000233700",,,N,50156,"20240410185051"
"02338",รพ.สต.ทุ่งโพธิ์,"2500","36",P,"54",,,"25030402","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,ทุ่งโพธิ์,"000233800",,,N,50157,"20240410185051"
"02339",รพ.สต.บ้านคลองตาหมื่น,"2500","36",P,"54",,,"25030404","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านคลองตาหมื่น,"000233900",,,N,50158,"20240410185051"
"02340",รพ.สต.บ้านท่าสะตือ,"2500","36",P,"54",,,"25030502","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านท่าสะตือ,"000234000",,,N,50159,"20240410185051"
"02341",รพ.สต.บ้านเขาขาด,"2500","36",P,"54",,,"25030507","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านเขาขาด,"000234100",,,N,50160,"20240410185051"
"02342",รพ.สต.บ้านทับลาน,"2500","36",P,"54",,,"25030601","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านทับลาน,"000234200",,,N,50161,"20240410185051"
"02343",รพ.สต.บ้านขุนศรี,"2500","36",P,"54",,,"25030602","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านขุนศรี,"000234300",,,N,50162,"20240410185051"
"02344",รพ.สต.บางกระเบา,"2500","36",P,"54",,,"25060206","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางกระเบา,"000234400",,,N,50163,"20240410185051"
"02345",รพ.สต.บางเตย,"2500","36",P,"54",,,"25060305","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางเตย,"000234500",,,N,50164,"20240410185051"
"02346",รพ.สต.บางยาง,"2500","36",P,"54",,,"25060405","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางยาง,"000234600",,,N,50165,"20240410185051"
"02347",รพ.สต.บ้านบางรุ่งโรจน์,"2500","36",P,"54",,,"25060410","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านบางรุ่งโรจน์,"000234700",,,N,50166,"20240410185051"
"02348",รพ.สต.บางแตน,"2500","36",P,"54",,,"25060502","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางแตน,"000234800",,,N,50167,"20240410185051"
"02349",รพ.สต.บางพลวง,"2500","36",P,"54",,,"25060601","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางพลวง,"000234900",,,N,50168,"20240410185051"
"02350",รพ.สต.บ้านหนองงูเหลือม,"2500","36",P,"54",,,"25060609","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านหนองงูเหลือม,"000235000",,,N,50169,"20240410185051"
"02351",รพ.สต.บางปลาร้า,"2500","36",P,"54",,,"25060704","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางปลาร้า,"000235100",,,N,50170,"20240410185051"
"02352",รพ.สต.บ้านนิคมพัฒนา,"2500","36",P,"54",,,"25060706","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านนิคมพัฒนา,"000235200",,,N,50171,"20240410185051"
"02353",รพ.สต.บางขาม,"2500","36",P,"54",,,"25060806","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บางขาม,"000235300",,,N,50172,"20240410185051"
"02354",รพ.สต.กระทุ่มแพ้ว,"2500","36",P,"54",,,"25060904","0016","001601",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทุ่มแพ้ว,"000235400",,,N,50173,"20240410185051"
"00253",สสอ.คูเมือง,"3100","35","M,N","60,70",,,"31020106","0010","001006",2011-08-29 00:00:00.000,,แก้ไขข้อมูลทางบัญชี,,"7",สำนักงานสาธารณสุขอำเภอ,คูเมือง,"000025300",,,N,48743,"20240410185051"
"00254",สสอ.กระสัง,"3100","35","M,N","60,70",,,"31030109","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,กระสัง,"000025400",,,N,30181,"20240410185051"
"00255",สสอ.นางรอง,"3100","35","M,N","60,70",,,"31040100","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,นางรอง,"000025500",,,N,30182,"20240410185051"
"00256",สสอ.หนองกี่,"3100","35","M,N","60,70",,,"31050106","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,หนองกี่,"000025600",,,N,30183,"20240410185051"
"00257",สสอ.ละหานทราย,"3100","35","M,N","60,70",,,"31060108","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ละหานทราย,"000025700",,,N,30184,"20240410185051"
"00258",สสอ.ประโคนชัย,"3100","35","M,N","60,70",,,"31070103","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ประโคนชัย,"000025800",,,N,30185,"20240410185051"
"00259",สสอ.บ้านกรวด,"3100","35","M,N","60,70",,,"31080100","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,บ้านกรวด,"000025900",,,N,30186,"20240410185051"
"00260",สสอ.พุทไธสง,"3100","35","M,N","60,70",,,"31090101","0010","001006",2014-01-06 00:00:00.000,,แก้ไขหมู่,,"7",สำนักงานสาธารณสุขอำเภอ,พุทไธสง,"000026000",,,N,48744,"20240410185051"
"00261",สสอ.ลำปลายมาศ,"3100","35","M,N","60,70",,,"31100107","0010","001006",2014-01-06 00:00:00.000,,แก้ไขหมู่,,"7",สำนักงานสาธารณสุขอำเภอ,ลำปลายมาศ,"000026100",,,N,48745,"20240410185051"
"00262",สสอ.สตึก,"3100","35","M,N","60,70",,,"31110107","0010","001006",2014-01-06 00:00:00.000,,แก้ไขหมู่,,"7",สำนักงานสาธารณสุขอำเภอ,สตึก,"000026200",,,N,48746,"20240410185051"
"00263",สสอ.ปะคำ,"3100","35","M,N","60,70",,,"31120101","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ปะคำ,"000026300",,,N,30187,"20240410185051"
"00264",สสอ.นาโพธิ์,"3100","35","M,N","60,70",,,"31130113","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,นาโพธิ์,"000026400",,,N,30188,"20240410185051"
"00265",สสอ.หนองหงส์,"3100","35","M,N","60,70",,,"31140114","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,หนองหงส์,"000026500",,,N,30189,"20240410185051"
"00266",สสอ.พลับพลาชัย,"3100","35","M,N","60,70",,,"31150401","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,พลับพลาชัย,"000026600",,,N,30190,"20240410185051"
"00267",สสอ.ห้วยราช,"3100","35","M,N","60,70",,,"31160103","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ห้วยราช,"000026700",,,N,30191,"20240410185051"
"00268",สสอ.โนนสุวรรณ,"3100","35","M,N","60,70",,,"31170115","0010","001006",2009-04-27 00:00:00.000,,Initial,,,สำนักงานสาธารณสุขอำเภอ,โนนสุวรรณ,"000026800",,,N,30192,"20240410185051"
"00269",สสอ.ชำนิ,"3100","35","M,N","60,70",,,"31180108","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ชำนิ,"000026900",,,N,30193,"20240410185051"
"00270",สสอ.บ้านใหม่ไชยพจน์,"3100","35","M,N","60,70",,,"31190101","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,บ้านใหม่ไชยพจน์,"000027000",,,N,30194,"20240410185051"
"00271",สสอ.โนนดินแดง,"3100","35","M,N","60,70",,,"31200107","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,โนนดินแดง,"000027100",,,N,30195,"20240410185051"
"00272",สสอ.บ้านด่าน,"3100","35","M,N","60,70",,,"31210109","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,บ้านด่าน,"000027200",,,N,30196,"20240410185051"
"00273",สสอ.เฉลิมพระเกียรติ,"3100","35","M,N","60,70",,,"31230202","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,เฉลิมพระเกียรติ,"000027300",,,N,30197,"20240410185051"
"00274",สสอ.เมืองสุรินทร์,"3200","35","M,N","60,70",,,"32010000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,เมืองสุรินทร์,"000027400",,,N,30198,"20240410185051"
"00275",สสอ.ชุมพลบุรี,"3200","35","M,N","60,70",,,"32020000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ชุมพลบุรี,"000027500",,,N,30199,"20240410185051"
"00276",สสอ.ท่าตูม,"3200","35","M,N","60,70",,,"32030000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ท่าตูม,"000027600",,,N,30200,"20240410185051"
"00277",สสอ.จอมพระ,"3200","35","M,N","60,70",,,"32040000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,จอมพระ,"000027700",,,N,30201,"20240410185051"
"00278",สสอ.ปราสาท,"3200","35","M,N","60,70",,,"32050000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ปราสาท,"000027800",,,N,30202,"20240410185051"
"00279",สสอ.กาบเชิง,"3200","35","M,N","60,70",,,"32060000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,กาบเชิง,"000027900",,,N,30203,"20240410185051"
"00280",สสอ.รัตนบุรี,"3200","35","M,N","60,70",,,"32070000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,รัตนบุรี,"000028000",,,N,30204,"20240410185051"
"00281",สสอ.สนม,"3200","35","M,N","60,70",,,"32080000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,สนม,"000028100",,,N,30205,"20240410185051"
"00282",สสอ.ศีขรภูมิ,"3200","35","M,N","60,70",,,"32090000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ศีขรภูมิ,"000028200",,,N,30206,"20240410185051"
"00283",สสอ.สังขะ,"3200","35","M,N","60,70",,,"32100000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,สังขะ,"000028300",,,N,30207,"20240410185051"
"00284",สสอ.ลำดวน,"3200","35","M,N","60,70",,,"32110000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ลำดวน,"000028400",,,N,30208,"20240410185051"
"00285",สสอ.สำโรงทาบ,"3200","35","M,N","60,70",,,"32120000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,สำโรงทาบ,"000028500",,,N,30209,"20240410185051"
"00286",สสอ.บัวเชด,"3200","35","M,N","60,70",,,"32130000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,บัวเชด,"000028600",,,N,30210,"20240410185051"
"00287",สสอ.พนมดงรัก,"3200","35","M,N","60,70",,,"32140000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,พนมดงรัก,"000028700",,,N,30211,"20240410185051"
"00288",สสอ.ศรีณรงค์,"3200","35","M,N","60,70",,,"32150000","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ศรีณรงค์,"000028800",,,N,30212,"20240410185051"
"00289",สสอ.เขวาสินรินทร์,"3200","35","M,N","60,70",,,"32160000","0010","001006",2009-04-27 00:00:00.000,,Initial,,,สำนักงานสาธารณสุขอำเภอ,เขวาสินรินทร์,"000028900",,,N,30213,"20240410185051"
"00290",สสอ.เมืองศรีสะเกษ,"3300","36",R0210,"61",,N,"33010301","0010","001006",2021-07-01 00:00:00.000,,ขึ้นทะเบียนหน่วยร่วมให้บริการด้านแพทย์แผนไทย 1 ต.ค. 63,,"4",สำนักงานสาธารณสุขอำเภอ,เมืองศรีสะเกษ,"000029000",,,N,30214,"20240410185051"
"00291",สสอ.ยางชุมน้อย,"3300","35","M,N","60,70",,,"33020500","0010","001006",2009-04-27 00:00:00.000,,Initial,,"7",สำนักงานสาธารณสุขอำเภอ,ยางชุมน้อย,"000029100",,,N,30215,"20240410185051"
